# 携程西藏景点清单（1490 个，按点评数降序）
# 格式：景点名,URL
虎头山水库,https://you.ctrip.com/sight/lhunzhub1446410/144444008.html
山南敏珠林寺,https://you.ctrip.com/sight/lhasa36/143748598.html
慈觉林寺,https://you.ctrip.com/sight/lhasa36/145200432.html
噶玛夏寺,https://you.ctrip.com/sight/lhasa36/5707410.html
西藏纳木措自然保护区,https://you.ctrip.com/sight/baingoin120384/152811777.html
斯布沟野生动物保护区,https://you.ctrip.com/sight/maizhokunggar1446407/143739940.html
尕尔寺大峡谷生态旅游区,https://you.ctrip.com/sight/nangqian2642/66902.html
金卡寺,https://you.ctrip.com/sight/dengqen2447/145189272.html
推瓦寺,https://you.ctrip.com/sight/nagarzecounty2438/145148966.html
珠峰东坡大本营,https://you.ctrip.com/sight/tingri2450/153130944.html
非物质文化遗产展示中心,https://you.ctrip.com/sight/shigatse100/150237367.html
樟木318国道,https://you.ctrip.com/sight/nyalamcounty2445/1712818.html
仁青岗寺,https://you.ctrip.com/sight/sagya2442/145701665.html
亚东县巴夏遗址,https://you.ctrip.com/sight/yadong120090/152801722.html
西藏羊湖国际滑翔伞飞行基地,https://you.ctrip.com/sight/gongga120408/145938239.html
江孜县紫金寺,https://you.ctrip.com/sight/gyantse2437/1831609.html
扎什文化广场,https://you.ctrip.com/sight/shigatse100/129034.html
推甘丹托门林寺,https://you.ctrip.com/sight/nagarzecounty2438/5714998.html
青稞博物馆,https://you.ctrip.com/sight/shigatse100/145282472.html
多情湖,https://you.ctrip.com/sight/kangma120372/145212352.html
萨迦历史文化展览馆,https://you.ctrip.com/sight/sagya2442/148617715.html
扎什伦布寺-陈列馆,https://you.ctrip.com/sight/shigatse100/145601053.html
人民公园,https://you.ctrip.com/sight/shigatse100/144196086.html
珠穆朗玛峰生物园保护区,https://you.ctrip.com/sight/tingri2450/144195983.html
恩贡寺,https://you.ctrip.com/sight/shigatse100/145223227.html
江孜宗山英雄纪念碑,https://you.ctrip.com/sight/gyantse2437/144197141.html
纳帕海环湖路,https://you.ctrip.com/sight/shangrila106/5591404.html
热振寺,https://you.ctrip.com/sight/lhunzhub1446410/54487.html
仁龙巴冰川-露营地,https://you.ctrip.com/sight/basu120403/145480108.html
八宿然乌国际自驾房车露营营地,https://you.ctrip.com/sight/basu120403/145686080.html
然乌湖免费观景台,https://you.ctrip.com/sight/basu120403/149687815.html
西藏然乌湖国家森林公园,https://you.ctrip.com/sight/basu120403/152794542.html
噶陀寺,https://you.ctrip.com/sight/baiyu120485/133462.html
乃钦康桑雪山冰川旅游区,https://you.ctrip.com/sight/gyantse2437/5554382.html
新都桥贡嘎雪山观景台,https://you.ctrip.com/sight/kangding344/5067139.html
惠远寺,https://you.ctrip.com/sight/daofu1446234/128096.html
千年核桃王景区,https://you.ctrip.com/sight/nyingchi126/128977.html
绒布冰川,https://you.ctrip.com/sight/tingri2450/4281.html
象泉河,https://you.ctrip.com/sight/garcounty120143/132829.html
夏珠林寺,https://you.ctrip.com/sight/gongga120408/129067.html
阿布吉措,https://you.ctrip.com/sight/shangrila106/135953604.html
松赞干布纪念馆,https://you.ctrip.com/sight/maizhokunggar1446407/1752961.html
狮林寺,https://you.ctrip.com/sight/lhunzhub1446410/145269866.html
拉萨市拉萨河水利风景区,https://you.ctrip.com/sight/lhasa36/112651422.html
拉萨鸣升水世界,https://you.ctrip.com/sight/lhasa36/152811888.html
《实证万年 多元一体》21世纪西藏考古成果展,https://you.ctrip.com/sight/lhasa36/156357985.html
西藏藏医药博物馆,https://you.ctrip.com/sight/lhasa36/148731957.html
沱沱河,https://you.ctrip.com/sight/zhidoicounty1446321/145231839.html
林海银河瀑布,https://you.ctrip.com/sight/yadong120090/148635268.html
尼木吞巴景区,https://you.ctrip.com/sight/nyemo1446406/1409308.html
措学仁玛营地,https://you.ctrip.com/sight/tingri2450/145388724.html
朗通庄园,https://you.ctrip.com/sight/kangma120372/150247220.html
天河广场,https://you.ctrip.com/sight/shigatse100/151253659.html
孜东曲德寺,https://you.ctrip.com/sight/namlingcounty120373/5715270.html
绒布德寺,https://you.ctrip.com/sight/tingri2450/4579306.html
尼木吞巴非遗中心,https://you.ctrip.com/sight/nyemo1446406/150340152.html
霍尔多西尔波列,https://you.ctrip.com/sight/garcounty120143/148642578.html
即乌寺,https://you.ctrip.com/sight/purang2440/110473.html
巴拉村,https://you.ctrip.com/sight/shangrila106/1487407.html
千湖山,https://you.ctrip.com/sight/shangrila106/144954.html
剪子湾山,https://you.ctrip.com/sight/yajiang3137/5068240.html
曲贡遗址,https://you.ctrip.com/sight/lhasa36/5526.html
业拉山,https://you.ctrip.com/sight/basu120403/5067403.html
康宁寺,https://you.ctrip.com/sight/batang3102/1416388.html
尼木国家森林公园,https://you.ctrip.com/sight/nyemo1446406/148686376.html
珠峰观景台,https://you.ctrip.com/sight/tingri2450/143753271.html
多庆错,https://you.ctrip.com/sight/kangma120372/144196474.html
巴夏景区,https://you.ctrip.com/sight/yadong120090/152837428.html
展佛台,https://you.ctrip.com/sight/shigatse100/1488995.html
羊湖观景,https://you.ctrip.com/sight/nagarzecounty2438/152884981.html
后藏民俗风情园,https://you.ctrip.com/sight/shigatse100/129013.html
沙琅国王峰,https://you.ctrip.com/sight/zhongba120376/152802239.html?poiType=3&scene=online
佩枯措观景台,https://you.ctrip.com/sight/gyirong120374/152830907.html?poiType=3&scene=online
易贡国家地质公园,https://you.ctrip.com/sight/bome2436/128991.html
雅鲁藏布江大拐弯,https://you.ctrip.com/sight/bome2436/152907182.html
拉萨河特大桥,https://you.ctrip.com/sight/qushui1446405/1696041.html
天路十八弯观景台,https://you.ctrip.com/sight/yajiang3137/5710384.html
泉华滩,https://you.ctrip.com/sight/kangding344/1701608.html
来古村,https://you.ctrip.com/sight/basu120403/1837466.html
错高村,https://you.ctrip.com/sight/gongbogyamda120396/1489355.html
色须寺,https://you.ctrip.com/sight/shiqu1446228/76790.html
秀色才纳·雪域花谷,https://you.ctrip.com/sight/qushui1446405/148477920.html
无底湖,https://you.ctrip.com/sight/shangrila106/134041649.html
建塘镇,https://you.ctrip.com/sight/shangrila106/1487374.html
圣象天门三生石,https://you.ctrip.com/sight/baingoin120384/150292699.html?poiType=3&scene=online
阿里塔尔钦国际旅游特色小城镇,https://you.ctrip.com/sight/purang2440/150176425.html?poiType=3&scene=online
西藏旱地拔葱视频拍摄点,https://you.ctrip.com/sight/lhasa36/148576705.html?poiType=3&scene=online
日喀则扎寺广场,https://you.ctrip.com/sight/shigatse100/1835282.html
上盐井天主堂,https://you.ctrip.com/sight/markam2452/56094.html
木里大寺,https://you.ctrip.com/sight/muli3100/1416247.html
白塔公园,https://you.ctrip.com/sight/ganzicounty3156/1940106.html
百鸡寺,https://you.ctrip.com/sight/shangrila106/1712884.html
松卡石塔,https://you.ctrip.com/sight/zhanang2451/145388810.html
苯日神山,https://you.ctrip.com/sight/nyingchi126/144210420.html?poiType=3&scene=online
阿玛直米雪山,https://you.ctrip.com/sight/dinggye120378/152748473.html?poiType=3&scene=online
长江源头,https://you.ctrip.com/sight/golmud332/50055.html
纳木湖镇,https://you.ctrip.com/sight/damxung2443/5068211.html
哲蚌寺-措钦大殿,https://you.ctrip.com/sight/lhasa36/1487584.html
牦牛广场,https://you.ctrip.com/sight/nyingchi126/4574307.html
大渡卡遗址,https://you.ctrip.com/sight/mainling2448/128983.html
山南市措美县扎玛寺,https://you.ctrip.com/sight/comai120410/145140144.html
达瓦错,https://you.ctrip.com/sight/coqen120146/129046.html
帕里草原,https://you.ctrip.com/sight/yadong120090/1488653.html
扎达布日寺,https://you.ctrip.com/sight/garcounty120143/1697507.html
拉木错,https://you.ctrip.com/sight/lhozhag120411/144453353.html
木雅大寺,https://you.ctrip.com/sight/kangding344/5591392.html
南极洛,https://you.ctrip.com/sight/deqin2178/5719998.html
定结县十万个沙丘,https://you.ctrip.com/sight/dinggye120378/149690264.html?poiType=3&scene=online
米堆冰川景区-观景台,https://you.ctrip.com/sight/bome2436/145676278.html?poiType=3&scene=online
查杰玛大殿景区,https://you.ctrip.com/sight/riwochecounty120400/18698.html
格萨尔王广场,https://you.ctrip.com/sight/yushucity1446308/1830731.html
三江源纪念碑,https://you.ctrip.com/sight/chindu1446316/5634403.html
年楚河自然观光游览区,https://you.ctrip.com/sight/shigatse100/129019.html
甘孜镇,https://you.ctrip.com/sight/ganzicounty3156/1940111.html
格拉丹东雪山,https://you.ctrip.com/sight/amdocounty120385/44020.html
桑丹康桑,https://you.ctrip.com/sight/nagqu919/44014.html
西当村,https://you.ctrip.com/sight/deqin2178/1834410.html
布托湖,https://you.ctrip.com/sight/dengqen2447/18699.html
马泉河,https://you.ctrip.com/sight/zhongba120376/132835.html
达果雪山,https://you.ctrip.com/sight/nyima120383/44006.html
象雄王国遗址,https://you.ctrip.com/sight/nyima120383/145495420.html
吉隆藏布,https://you.ctrip.com/sight/gyirong120374/143259930.html
扎村,https://you.ctrip.com/sight/gyirong120374/4276356.html
雅隆嘎布,https://you.ctrip.com/sight/saga120381/83067132.html
玉树草原,https://you.ctrip.com/sight/yushucity1446308/1713807.html
强巴佛殿(弥勒殿),https://you.ctrip.com/sight/shigatse100/1727175.html
尼木玛曲,https://you.ctrip.com/sight/nyemo1446406/144496811.html
苯教寺庙米珠通门林寺,https://you.ctrip.com/sight/nyemo1446406/145338062.html
越恰错,https://you.ctrip.com/sight/xainza120386/144362627.html
G219玛不错遗址服务区,https://you.ctrip.com/sight/kangma120372/148743283.html
洛波错,https://you.ctrip.com/sight/xainza120386/144473790.html
清真寺(雪强路),https://you.ctrip.com/sight/shigatse100/129036.html
日喀则市定日县长所乡森嘎曲德寺,https://you.ctrip.com/sight/tingri2450/145498620.html
日喀则市定日县长所乡宗布寺,https://you.ctrip.com/sight/tingri2450/146029169.html
德瓦庆寺,https://you.ctrip.com/sight/tingri2450/145616189.html
定日县曲洛乡措昂曲德寺,https://you.ctrip.com/sight/tingri2450/145389227.html
杰顿珠宗遗址,https://you.ctrip.com/sight/lhozhag120411/148556314.html
甲根坝镇,https://you.ctrip.com/sight/kangding344/1713537.html
沙琼村,https://you.ctrip.com/sight/zayu120394/1837460.html
合掌石,https://you.ctrip.com/sight/damxung2443/1487561.html
甘露曲秘藏药浴疗(甘露大厦店),https://you.ctrip.com/sight/lhasa36/5679511.html
乃朗寺,https://you.ctrip.com/sight/lhasa36/128939.html
甘丹颇章,https://you.ctrip.com/sight/lhasa36/1487592.html
普化寺,https://you.ctrip.com/sight/gongshan1446282/1713008.html
卡瓦格博峰观景台,https://you.ctrip.com/sight/deqin2178/145460629.html
卡玛多塔林,https://you.ctrip.com/sight/riwochecounty120400/18704.html
巴松措星空户外泡泡帐篷营地,https://you.ctrip.com/sight/gongbogyamda120396/145252342.html
朱西冰川,https://you.ctrip.com/sight/bome2436/150418739.html
西藏林芝八一厦门广场,https://you.ctrip.com/sight/nyingchi126/146030488.html
雨崩景区-观光车,https://you.ctrip.com/sight/deqin2178/145381137.html
倾多镇,https://you.ctrip.com/sight/bome2436/1696913.html
嘎朗村,https://you.ctrip.com/sight/bome2436/134774068.html
藏王洞,https://you.ctrip.com/sight/bome2436/145301183.html
岗村,https://you.ctrip.com/sight/bome2436/1712734.html
波堆桃花谷桃花世界,https://you.ctrip.com/sight/bome2436/145538711.html
