景点名称,URL,失败原因
通天河,https://you.ctrip.com/sight/chindu1446316/50113.html,已获取 poiId 但未采集到评论
卡萨湖,https://you.ctrip.com/sight/luhuo1446223/1416438.html,已获取 poiId 但未采集到评论
白玉寺,https://you.ctrip.com/sight/baiyu120485/133459.html,已获取 poiId 但未采集到评论
黑石北湖,https://you.ctrip.com/sight/gertse120145/144372500.html,未取到 poiId（无点评或页面无评论模块）
扎西岗寺,https://you.ctrip.com/sight/garcounty120143/145187529.html,未取到 poiId（无点评或页面无评论模块）
格聂之眼,https://you.ctrip.com/sight/litang3150/5714229.html,已获取 poiId 但未采集到评论
曲孜卡温泉度假村,https://you.ctrip.com/sight/markam2452/144197484.html,未取到 poiId（无点评或页面无评论模块）
滇藏界,https://you.ctrip.com/sight/gongshan1446282/150014855.html,未取到 poiId（无点评或页面无评论模块）
多东寺,https://you.ctrip.com/sight/bome2436/144196701.html,未取到 poiId（无点评或页面无评论模块）
走起侣行下雨崩村,https://you.ctrip.com/sight/deqin2178/148734215.html,未取到 poiId（无点评或页面无评论模块）
飞来寺景区-2号观景台,https://you.ctrip.com/sight/deqin2178/145510176.html,未取到 poiId（无点评或页面无评论模块）
扎西岗民俗村,https://you.ctrip.com/sight/nyingchi126/144196271.html,未取到 poiId（无点评或页面无评论模块）
龙灯草原,https://you.ctrip.com/sight/daofu1446234/1786420.html,已获取 poiId 但未采集到评论
尼洋河观景台,https://you.ctrip.com/sight/nyingchi126/145133413.html?poiType=3&scene=online,未取到 poiId（无点评或页面无评论模块）
古冰川,https://you.ctrip.com/sight/zayu120394/1830707.html?poiType=3&scene=online,未取到 poiId（无点评或页面无评论模块）
拉萨《长征英雄》沉浸式XR体验馆,https://you.ctrip.com/sight/lhasa36/154000924.html,未取到 poiId（无点评或页面无评论模块）
虎头山水库,https://you.ctrip.com/sight/lhunzhub1446410/144444008.html,未取到 poiId（无点评或页面无评论模块）
山南敏珠林寺,https://you.ctrip.com/sight/lhasa36/143748598.html,未取到 poiId（无点评或页面无评论模块）
慈觉林寺,https://you.ctrip.com/sight/lhasa36/145200432.html,未取到 poiId（无点评或页面无评论模块）
噶玛夏寺,https://you.ctrip.com/sight/lhasa36/5707410.html,未取到 poiId（无点评或页面无评论模块）
西藏纳木措自然保护区,https://you.ctrip.com/sight/baingoin120384/152811777.html,未取到 poiId（无点评或页面无评论模块）
斯布沟野生动物保护区,https://you.ctrip.com/sight/maizhokunggar1446407/143739940.html,未取到 poiId（无点评或页面无评论模块）
尕尔寺大峡谷生态旅游区,https://you.ctrip.com/sight/nangqian2642/66902.html,已获取 poiId 但未采集到评论
金卡寺,https://you.ctrip.com/sight/dengqen2447/145189272.html,未取到 poiId（无点评或页面无评论模块）
推瓦寺,https://you.ctrip.com/sight/nagarzecounty2438/145148966.html,未取到 poiId（无点评或页面无评论模块）
珠峰东坡大本营,https://you.ctrip.com/sight/tingri2450/153130944.html,未取到 poiId（无点评或页面无评论模块）
非物质文化遗产展示中心,https://you.ctrip.com/sight/shigatse100/150237367.html,未取到 poiId（无点评或页面无评论模块）
仁青岗寺,https://you.ctrip.com/sight/sagya2442/145701665.html,未取到 poiId（无点评或页面无评论模块）
亚东县巴夏遗址,https://you.ctrip.com/sight/yadong120090/152801722.html,未取到 poiId（无点评或页面无评论模块）
西藏羊湖国际滑翔伞飞行基地,https://you.ctrip.com/sight/gongga120408/145938239.html,未取到 poiId（无点评或页面无评论模块）
江孜县紫金寺,https://you.ctrip.com/sight/gyantse2437/1831609.html,未取到 poiId（无点评或页面无评论模块）
推甘丹托门林寺,https://you.ctrip.com/sight/nagarzecounty2438/5714998.html,未取到 poiId（无点评或页面无评论模块）
青稞博物馆,https://you.ctrip.com/sight/shigatse100/145282472.html,未取到 poiId（无点评或页面无评论模块）
多情湖,https://you.ctrip.com/sight/kangma120372/145212352.html,未取到 poiId（无点评或页面无评论模块）
萨迦历史文化展览馆,https://you.ctrip.com/sight/sagya2442/148617715.html,未取到 poiId（无点评或页面无评论模块）
